#GENE SYNS
ORAI1	TMEM142A,CRACM1,FLJ14466
MFSD2A	MFSD2,FLJ14490
RPUSD4	FLJ14494
MAP7D2	FLJ14503
ADM	AM
CYP11A1	CYP11A,P450SCC
C1orf198	DKFZp667D152,FLJ14525,FLJ16283,FLJ38847,MGC10710
AFAP1L2	KIAA1914,Em:AC005383.4,FLJ14564,XB130
POMGNT2	GTDC2,AGO61,FLJ14566,AGO61,FLJ14566
ATAD1	FLJ14600
TMTC4	FLJ14624,FLJ22153
RNFT2	TMEM118,FLJ14627
NFATC2IP	ESC2,FLJ14639,NIP45,RAD60
CEP89	CCDC123,FLJ14640
ARHGEF39	C9orf100,FLJ14642
CYP11B1	CYP11B,CPN1,FHI,P450C11
FAM136A	FLJ14668
TMEM87B	FLJ14681
FAM222A	C12orf34,FLJ14721
STRIP1	FAM40A,FAR11A,FLJ14743,KIAA1761
FIZ1	FLJ14768,ZNF798
FAM104A	FLJ14775
ZNF566	FLJ14779,MGC12515
CYP11B2	CYP11B,ALDOS,CPN2,CYP11BL,P450aldo,P-450C18
SPRYD3	FLJ14800
FIBCD1	FLJ14810
C8orf76	FLJ14825
RITA1	C12orf52,FLJ14827,RITA
MEDAG	C13orf33,AWMS3,FLJ14834,MEDA-4
WDR73	FLJ14888,HSPC264
MAEL	CT128,FLJ14904,SPATA35
CYP17A1	CYP17,CPT7,P450C17,S17AH
PRPF38A	FLJ14936,Prp38
CGNL1	FLJ14957,JACOP,KIAA1749,PCING
ZNF844	FLJ14959
MICALCL	FLJ14966
MPND	FLJ14981
NSMCE4A	C10orf86,bA500G22.3,FLJ20003,NSE4A
C11orf71	FLJ20010
BORCS6	C17orf59,FLJ20014
CYP19A1	CYP19,ARO,ARO1,aromatase,CPV1,CYAR,P-450AROM
TET2	KIAA1546,FLJ20032
DDX60	FLJ20035
MED18	FLJ20045,p28b,SRB5
ARL15	ARFRP2,FLJ20051
KLHL24	DRE1,FLJ20059
HAUS6	FAM29A,dgt6,FLJ20060,KIAA1574
ZNF586	FLJ20070
CYP1A1	CYP1,CP11,P1-450,P450-C,P450DX
ZNF562	FLJ20079
AFTPH	FLJ20080,FLJ23793,MGC33965,Nbla10388
QPCTL	FLJ20084
ZNF280D	SUHW4,FLJ20086,ZNF634
ZCCHC10	FLJ20094
ZNF280C	SUHW3,FLJ20095,ZNF633
VPS50	CCDC132,DKFZp313I2429,FLJ20097,KIAA1861,VPS54L
GIN1	ZH2C2,FLJ20125,GIN-1,TGIN1
CYP1A2	CP12,P3-450
NUP62CL	FLJ20130
RETREG1	FAM134B,FLJ20152,JK1
LRRC49	FLJ20156
ESRP1	RBM35A,FLJ20171
SIDT1	FLJ20174,SID-1
ARHGEF38	FLJ20184
DEF8	FLJ20186
CYP1B1	GLC3A,CP1B
ANKRD49	FGIF,FLJ20189,GBIF
WDR55	FLJ20195,FLJ21702
FAM83E	FLJ20200
GON4L	GON4,FLJ20203,GON-4,YARP
GDPD2	FLJ20207,GDE3,OBDPF
ELP6	C3orf75,TMEM103,FLJ20211,FLJ20211
RNF186	FLJ20225
MIEF1	SMCR7L,FLJ20232,MiD51
TRMT1	FLJ20244,TRM1
TOR4A	C9orf167,FLJ20245
GPATCH4	GPATC4,DKFZP434F1735,FLJ20249
TMEM214	FLJ20254
TMEM104	FLJ00021,FLJ20255
PIGG	FLJ20265,GPI7,LAS21
TTC27	FLJ20272
DCAF16	C4orf30,FLJ20280
TEX10	bA208F1.2,FLJ20287,Ipi1
CWC25	CCDC49,FLJ20291
AMBRA1	DCAF3,FLJ20294,KIAA1736,WDR94
RETSAT	FLJ20296
PLPPR1	FLJ20300,LPPR1,MGC26189,PRG-3
NSUN2	MRT5,FLJ20303,Misu,TRM4
ALKBH5	OFOXD1,FLJ20308
INO80D	FLJ20309
MTMR10	FLJ20313
CYP21A2	CYP21B,CA21H,CAH1,CPS1,P450c21B,CA21H,CAH1,CPS1,P450c21B
PQLC2	FLJ20320
CASZ1	castor,cst,FLJ20321,SRG,ZNF693
LRRC40	FLJ20331
LAX1	FLJ20340,LAX
TTC19	FLJ20343,MGC19520
KRBOX4	ZNF673,FLJ20344
SH3TC1	FLJ20356
SPDL1	CCDC99,FLJ20364,hSpindly
SYBU	FLJ20366,GOLSYN,KIAA1472,OCSYN,SNPHL
DNAAF5	HEATR2,CILD18,FLJ20397,FLJ25564,FLJ31671,FLJ39381
DUS2	DUS2L,FLJ20399,SMM1
LIME1	dJ583P15.4,FLJ20406,LIME
IMPAD1	FLJ20421,gPAPP,IMPA3
CYP24A1	CYP24,CP24,P450-CC24
TMEM161A	FLJ20422,FLJ39645
LYAR	ZC2HC2,ZLYAR
TRMT10C	RG9MTD1,FLJ20432,MRPP1
EXD3	FLJ20433,LOC54932,mut-7
KANSL2	C12orf41,FLJ20436,NSL2
MARCH5	RNF153,FLJ20445,MARCH-V,MITOL
SOHLH2	bHLHe81,FLJ20449,SPATA28,TEB1
COMMD4	FLJ20452
CYP26A1	CP26,CYP26,P450RAI,P450RAI1
PIGV	FLJ20477
LPCAT2	AYTL1,AGPAT11,FLJ20481,LysoPAFAT
PUS7	FLJ20485
SDHAF2	PGL2,FLJ20487,SDH5,FLJ20487,SDH5
SLC48A1	FLJ20489,hHRG-1,HRG1
COMMD8	FLJ20502
TMEM127	FLJ20507,FLJ22257
C1orf109	FLJ20508
PARP16	C15orf30,FLJ20509,FLJ25281,pART15
TXNL4B	Dim2,DLP,FLJ20511
TMEM160	FLJ20512
ODAM	APin,FLJ20513
GEMIN8	FAM51A1,FLJ20514
C1orf56	FLJ20519,MENT
PIGX	FLJ20522
CT55	CXorf48,FLJ20527
INTS8	C8orf52,FLJ20530,INT8,MGC131633
ZNF692	AREBP,FLJ20531,Zfp692
CYP27A1	CYP27,CP27,CTX
TMEM70	FLJ20533
HPF1	C4orf27,FLJ20534
INTS11	CPSF3L,CPSF73L,FLJ20542,INT11,RC-68
THG1L	FLJ11601,FLJ20546,hTHG1,ICF45,IHG-1
SLC25A38	FLJ20551
SLC35F6	C2orf18,ANT2BP,FLJ20555,TANGO9
C2orf42	FLJ20558
NMRK1	C9orf95,bA235O14.2,FLJ20559,NRK1
LAGE3	CVG5,DXS9879E,DXS9951E,ESO3,ITBA2,Pcc1
C1orf123	FLJ20580
CYP27B1	VDD1,CYP1,P450c1,CYP1,P450c1
ACSM5	FLJ20581
ZNF770	FLJ20582,PRO1914
C1orf159	FLJ20584
OXSM	CEM1,FASN2D,FLJ20604,KS
MARC2	MOSC2,FLJ20605
TESC	CHP3,FLJ20607,TSC
TTC22	FLJ20619
LAMTOR1	C11orf59,FLJ20625,p18,p27RF-Rho,Pdro,Ragulator1
TRMT61B	FLJ20628
HERC6	FLJ20637
C19orf24	FLJ20640
PARPBP	C12orf48,FLJ20641,PARI
PIH1D1	NOP17,FLJ20643
MCUB	CCDC109B,FLJ20647
MARCH1	FLJ20668,MARCH-I,RNF171
VSIG10	.
DENND4C	C9orf55B,bA513M16.3,FLJ20686,RAB10GEF,bA513M16.3,FLJ20686,RAB10GEF
CYP2A13	CPAD,CYP2A
TTC38	FLJ20699
PID1	FLJ20701,NYGGF4
TMEM255A	FAM70A,FLJ20716
HEATR3	FLJ20718
NBPF1	FLJ20719,KIAA1693
ZNHIT6	C1orf181,BCD1,FLJ20729,NY-BR-75
CCDC40	CILD15,FAP172,FLJ20753,FLJ32021,KIAA1640
TRMT12	FLJ20772,Trm12,TYW2
ARMCX6	FLJ20811,GASP10
VPS37C	FLJ20847
REX1BD	C19orf60,FLJ20850,FLJ30108,FLJ34606,FLJ37391
ARHGAP10	FLJ20896,FLJ41791,GRAF2
CYP2A6	CYP2A3,CPA6,CYP2A
ACSF2	ACSMW,FLJ20920
SH2D4A	FLJ20967,PPP1R38,SH2A
CCDC30	FLJ20972,LOC728621,PFD6L
C8orf33	FLJ20989
PLEKHH3	FLJ21019
CFAP69	C7orf63,FAP69,FLJ21062
CLIP4	RSNL2,FLJ21069
CYP2A7	CYP2A
FAM118B	FLJ21103
ABHD18	C4orf29,FLJ21106
RTL10	C22orf29,BOP,FLJ21125
TCTN1	FLJ21127,JBTS13,TECT1
EDC3	YJDC,FLJ21128,hYjeF_N2-15q23,LSM16,YJEFN2
EXO5	C1orf176,DEM1,FLJ21144,FLJ21144
SETD6	FLJ21148
HECTD3	FLJ21156
MAP9	ASAP,FLJ21159
SIKE1	FLJ21168,SIKE
RBFA	C18orf22,FLJ21172,HsT169
TCEAL4	FLJ21174,WEX7
PARP8	FLJ21308,pART16
SPATA20	FLJ21347,SSP411,Tisp78
C12orf49	FLJ21415
RASAL3	FLJ21438
BTNL8	BTN9.2,FLJ21458
CWH43	CWH43-C,FLJ21511,PGAP2IP
ZNF552	FLJ21603
GAREM1	FAM59A,GAREM,FLJ21610,FLJ21610,FLJ21610
HMBOX1	FLJ21616,HNF1LA,HOT1,PBHNF
ZFP2	FLJ21628,ZNF751
TMEM267	C5orf28,FLJ21657
C19orf44	FLJ21742
TMEM134	FLJ21749
PALB2	FANCN,FLJ21816
LDAH	C2orf43,FLJ21820
IFT46	C11orf60,C11orf2,CFAP32,FLJ21827
AGBL5	CCP5,FLJ21839
CRTC3	FLJ21868
SOWAHC	ANKRD57,C2orf26,FLJ21870,FLJ21870
CYP2B6	CYP2B,CPB6,CYPIIB6
FASTKD1	FLJ21901
RPAP3	FLJ21908,hSpagh,spag
ESRP2	RBM35B,FLJ21918
INTS3	C1orf60,FLJ21919,INT3,SOSS-A
QSER1	FLJ21924
WDCP	C2orf44,FLJ21945
ELMOD3	RBED1,RBM29,FLJ21977,FLJ21977,FLJ21977
CPED1	C7orf58,FLJ21986
THNSL1	FLJ22002,TSH1
CORO7	FLJ22021
PYROXD1	DKFZp762G094,FLJ22028
NAA16	NARG1L,FLJ22054,MGC40612,PRO2435
DEFB104B	.
ZNF574	FLJ22059
TMEM135	FLJ22104
ARMC7	FLJ22160
CTC1	C17orf68,AAF132,FLJ22170
C3orf36	FLJ22173
FAAP100	C17orf70,FLJ22175
PRR36	.
OGFOD3	C17orf101,FLJ22222
SLC8B1	SLC24A6,FLJ22233,NCKX6,NCLX
REEP4	C8orf20,FLJ22246,FLJ22277,PP432,Yip2c
SLC49A3	MFSD7,FLJ22269,LP2561
FHOD3	FHOS2,FLJ22297,FLJ22717,KIAA1695
ZNF672	FLJ22301
RMND5B	FLJ22318,GID2,GID2B
COLGALT1	GLT25D1,FLJ22329
MCTP1	FLJ22344
TUT1	RBM21,FLJ21850,FLJ22267,FLJ22347,PAPD2,TENT1,TUTase
CCDC134	FLJ22349
TMEM53	FLJ22353,NET4
PQLC1	FLJ22378
MARC1	MOSC1,FLJ22390
MTMR14	C3orf29,FLJ22405,FLJ90311,hEDTP,hJumpy
ZNF385D	ZNF659,FLJ22419
DENND2D	FLJ22457,RP5-1180E21.2
CSPP1	CSPP,FLJ22490,JBTS21
NUDT18	FLJ22494,MTH3
IQCA1	IQCA,DRC11,FLJ22527
MFSD13A	TMEM180,bA18I14.8,FLJ22529,bA18I14.8,FLJ22529
C11orf80	FLJ22531,TOPOVIBL
MAIP1	C2orf47,DKFZp666A212,FLJ22555
KATNBL1	C15orf29,FLJ22557
ADORA1	RDC7
CYP2C18	CYP2C17,CPCI,CYP2C,P450IIC17
STN1	OBFC1,bA541N10.2,FLJ22559
MRM1	FLJ22578
BAIAP2L2	FLJ22582,pinkbar
TTC13	FLJ22584
NSUN3	FLJ22609
ZCCHC7	AIR1,FLJ22611
CYP2C19	CYP2C,CPCJ,P450IIC19
PGGHG	ATHL1,FLJ22635
SPCS3	FLJ22649,PRO3567,SPC22/23,SPC3,YLR066W
RERGL	FLJ22655
PLBD1	FLJ22662
C2orf54	FLJ22671
TMEM164	FLJ22679,RP13-360B22.2
FUZ	CPLANE3,FLJ22688,Fy
CYP2C8	CPC8
PIF1	C15orf20,FLJ22692
OCEL1	FLJ22709
FAR1	MLSTD2,FLJ22728,SDR10E1
TEFM	C17orf42,FLJ22729
FAM124B	FLJ22746
DENND1C	FAM31C,FLJ22757
HES3	bHLHb43
METTL25	C12orf26,FLJ22789
CYP2C9	CYP2C10,P450IIC9
TM4SF20	FLJ22800,TCCE518
NABP1	OBFC2A,DKFZp667M1322,FLJ13624,FLJ22833,hSSB2,MGC111163,SOSS-B2,SSB2
EFHC2	MRX74,FLJ22843
MYO19	MYOHD1,FLJ22865
FAM96A	CIA2A,FLJ22875
SH3D21	C1orf113,FLJ22938
DCAKD	FLJ22955
CXorf56	FLJ22965
CYP2D7	CYP2D7P,CYP2D7P1
TTLL7	FLJ23033
CEP97	LRRIQ2,FLJ23047
ZBBX	FLJ23049
MAP3K19	YSK4,FLJ23074,RCK
CYP2D6	CYP2DL1,CPD6,CYP2D,P450C2D,P450-DB1,CPD6,CYP2D,P450C2D,P450-DB1,CPD6,CYP2D,P450C2D,P450-DB1,CPD6,CYP2D,P450C2D,P450-DB1,CPD6,CYP2D,P450C2D,P450-DB1
WDR78	DIC4,FLJ23129
ZMYM1	FLJ23151,MYM
C3orf52	FLJ23186,TTMP
NDNF	C4orf31,FLJ23191
PDZD7	PDZK7,bA108L7.8,FLJ23209,bA108L7.8,FLJ23209
C1orf54	FLJ23221
ZC3H12A	FLJ23231,MCPIP1
TMEM156	FLJ23235
LRRC31	FLJ23259
TTI2	C8orf41,FLJ23263
FOXRED2	ERFAD,FLJ23322
NOL9	FLJ23323,Grc3,NET6
MSANTD2	C11orf61,FLJ23342
POMK	FLJ23356,SgK196
TMEM62	FLJ23375
PIEZO2	FAM38B2,FLJ23144,FLJ23403,FLJ34907,HsT748,HsT771,FLJ23144,FLJ23403,FLJ34907,HsT748,HsT771,FLJ23144,FLJ23403,FLJ34907,HsT748,HsT771,FLJ23144,FLJ23403,FLJ34907,HsT748,HsT771
LRRC8E	FLJ23420
ZNF768	FLJ23436
NARS2	DFNB94,FLJ23441,SLM5
PODNL1	FLJ23447,SLRR5B
CAMKMT	C2orf34,CLNMT
TNFAIP8L2	FLJ23467
ISOC2	FLJ23469
ZNF671	FLJ23506
CCDC81	FLJ16339,FLJ23514
CCDC82	FLJ23518
PLEKHS1	C10orf81,bA211N11.2,FLJ23537
ARSJ	FLJ23548
MROH9	C1orf129,ARMC11,FLJ23550
JHY	C11orf63,FLJ23554,Jhy
BBS10	C12orf58,FLJ23560
ELOVL7	FLJ23563
SPEF2	CT122,FLJ23577,KPL2
C22orf46	CTA-216E10.6,FLJ23584
CCDC102B	C18orf14,AN,FLJ23594,HsT1731,AN,FLJ23594,HsT1731
AGBL2	CCP2,FLJ23598
SH3RF2	PPP1R39,FLJ23654,Hepp1,POSHER,RNF158
ADORA2A	ADORA2,RDC8
ODAPH	C4orf26,AI2A4,FLJ23657
LONRF1	FLJ23749,RNF191
PXYLP1	ACPL2,FLJ23751
ZNF585A	FLJ23765
FAM91A1	FLJ23790
HEXDC	FLJ23825
CDHR3	CDH28,FLJ23834,FLJ44366
COMTD1	FLJ23841
CYP2E1	CYP2E
KANSL1L	C2orf67,FLJ23861,FLJ32349,KIAA1267L,MSL1v2
SLFNL1	FLJ23878
B4GALNT4	FLJ25045,NGalNAc-T1
MYRFL	C12orf28,bcm1377,FLJ25056,bcm1377,FLJ25056
IMMP1L	IMMP1,FLJ25059
SHLD1	C20orf196,FLJ25067,RINN3
C1orf74	FLJ25078,URLC4
CYP2F1	CYP2F
SAMD8	FLJ25082,SMSr
ASPRV1	FLJ25084,SASPase,Taps
ANKRD35	FLJ25124
C2orf50	FLJ25143
NKX6-3	FLJ25169
EFHB	CFAP21,FLJ25200
NXPE2	FAM55B,FLJ25224
ZNF385B	ZNF533,FLJ25270
SRFBP1	BUD22,FLJ25286,p49,Rlb1,STRAP
FAM81B	FLJ25333
PRSS54	CT67,FLJ25339,KLKBL4
ZNF534	KRBO3,FLJ25344
SPOCD1	FLJ25348,PPP1R146
CYP2J2	.
BTBD16	C10orf87,Em:AC061711.1,FLJ25359
TEX37	C2orf51,FLJ25369,TSC21
C4orf45	FLJ25371
DEUP1	CCDC67,FLJ25393
C8orf48	FLJ25402
C16orf92	FLJ25404
EIF3CL	.
SEPT12	FLJ25410
SPATA32	TEX34,AEP2,FLJ25414,VAD1.2,AEP2,FLJ25414,VAD1.2
ANKAR	FLJ25415
DDIAS	C11orf82,FLJ25416,FLJ38838,noxin
ENTHD1	FLJ25421
RANBP3L	FLJ25422
UBXN10	UBXD3,FLJ25429
TTC23L	FLJ25439
CXorf58	FLJ25444
CCDC13	FLJ25467
PXDNL	FLJ25471,PMR1
AMER2	FAM123A,FLJ25477
HEPACAM	FLJ25530,GLIALCAM,hepaCAM
ANKRD13B	FLJ25555
FAM187B	TMEM162,FLJ25660
POU5F2	FLJ25680,SPRM-1
MCMDC2	C8orf45,FLJ25692
CYP3A4	CYP3A3
CBLL2	ZNF645,CT138,FLJ25735,HAKAIL
FMR1NB	CT37,FLJ25736,NY-SAR-35
PRTG	FLJ25756,IGDCC5
CCDC158	FLJ25770
C14orf177	FLJ25773
TRIML2	FLJ25801,SPRYD6
EFCAB3	FLJ25818
CYP3A5	CP35,P450PCN3,PCN3
DAW1	WDR69,FLJ25955,ODA16
IGSF10	CMF608,FLJ25972
C14orf178	FLJ25976
PAQR4	FLJ30002
SLAIN1	C13orf32,FLJ30046
ARHGAP36	FLJ30058
TMEM182	FLJ30294
PTCHD1	FLJ30296
TTC9B	FLJ30373
LYPD5	FLJ30469
AIFM3	AIFL,FLJ30473
ADORA2B	.
CYP3A7	CP37,P450-HFLA
HENMT1	C1orf59,FLJ30525,HEN1
MARVELD2	MRVLDC2,FLJ30532,TRIC,FLJ30532,TRIC
RFTN2	C2orf11,FLJ30574,Raftlin-2
NADK2	NADKD1,FLJ30596,MNADK,FLJ30596,MNADK
SCLT1	FLJ30655,hCAP-1A
LSM12	FLJ30656
ZNF599	FLJ30663
TMEM74	FLJ30668,NET36
CYP46A1	CYP46
HDX	CXorf43,FLJ30678
FAM124A	FLJ30707
ZNF570	FLJ30791
SLC16A14	FLJ30794,MCT14
TMEM155	FLJ30834
CYP4A11	CYP4A2,CYP4AII
ZNF573	FLJ30921
ZNF582	FLJ30927
ZNF558	FLJ30932
SNX32	SNX6B,FLJ30934
TTC30B	fleer,FLJ30990,IFT70B
ZNF583	FLJ31030
FAAP20	C1orf86,FLJ31031
DDX60L	FLJ31033
IKBIP	FLJ31051,IKIP
FCRLB	FCRLM2,FCRL2,FCRLY,FLJ31052,FREB-2
ZNF547	FLJ31100
ZMAT2	FLJ31121,hSNU23,Snu23
C3orf33	AC3-33,FLJ31139
FOPNL	C16orf63,DKFZp686N1651,FLJ31153,FOR20,PHSECRG2
C9orf66	FLJ31158
TSNARE1	FLJ31164
TMEM52B	C12orf59,FLJ31166
SLC47A2	FLJ31196,MATE2,MATE2-K
CYP4B1	.
FAAH2	AMDD,FAAH-2,FLJ31204,RP11-479E16.1
SLC6A18	FLJ31236,Xtrp2
NUDT16	FLJ31265
UROC1	FLJ31300,HMFN0320
KCTD18	6530404F10Rik,FLJ31322,FLJ37818
ZNF578	FLJ31384
CYP4F2	.
MANEAL	FLJ31434
CLHC1	C2orf63,FLJ31438
TRMT10B	RG9MTD3,bA3J10.9,FLJ31455
CFAP54	C12orf63,FLJ31514,FLJ44112,FLJ31514,FLJ44112
ZNF681	FLJ31526
TEPSIN	C17orf56,ENTHD2,FLJ31528,FLJ31528
CES5A	CES7,CAUXIN,CES4C1,CES5,FLJ31547
CYP4F3	LTB4H,CYP4F
JAKMIP1	FLJ31564,Gababrbp,JAMIP1,MARLIN1
PLCXD2	FLJ31579
SPATA33	C16orf55,FLJ31606
RASEF	RAB45,FLJ31614
YTHDF3	FLJ31657
FAM218A	C4orf39,FLJ31659
CHCHD4	FLJ31709,MIA40,TIMM40
VSTM4	C10orf72,FLJ31737
CCDC43	FLJ31795
BMT2	C7orf60,DKFZp762M126,FLJ31818
TMEM56	FLJ31842
CCDC122	FLJ31846
ZNF778	FLJ31875
CYP4F8	.
SLFN13	FLJ31952
GLT1D1	FLJ31978
ZNF560	FLJ31986
CFAP57	WDR65,FLJ32000
CNST	C1orf71,FLJ32001,PPP1R64
VWCE	FLJ32009,URG11,VWC1
KNCN	FLJ32011,KINO,L5
TMEM154	FLJ32028
CYP51A1	CYP51,CP51,CYPL1,LDM,P450-14DM,P450L1
TCEANC2	C1orf83,FLJ32112
ERP27	C12orf46,ERp27,FLJ32115,PDIA8
ZNF785	FLJ32130
ZNF513	FLJ32203,RP58
ERVV-1	ENVV1,FLJ32214,HERV-V1
AGBL1	CCP4,FLJ32310
PUS10	CCDC139,FLJ32312
PPM1M	FLJ32332,PP2Ceta
DUOXA1	FLJ32334,mol,NIP,NUMBIP
CWF19L2	FLJ32343
PHETA1	FAM109A,FLJ32356,IPIP27A,SES1
CYP7A1	CYP7
TMEM68	FLJ32370
HSPB6	FLJ32389,Hsp20,PPP1R91
BROX	C1orf58,FLJ32421
NSMCE2	C8orf36,FLJ32440,MMS21,NSE2,ZMIZ7
CCDC140	FLJ32447
COQ10A	FLJ32452
CYB5D1	FLJ32499
C12orf66	FLJ32549
PM20D1	Cps1,FLJ32569
CYP7B1	SPG5A
CCDC155	FLJ32658,KASH5
LOXHD1	DFNB77,FLJ32670,LH2D1
HARBI1	C11orf77,FLJ32675
ERICH6B	FAM194B,FLJ32682
C16orf46	FLJ32702
AK8	C9orf98,FLJ32704
HGSNAT	TMEM76,FLJ32731,HGNAT
CCDC42	CCDC42A,FLJ32734
CYP8B1	CYP12
CFAP53	CCDC11,FLJ32743
CCDC138	FLJ32745
DNHD1	DNHD1L,DKFZp686J0796,FLJ32752,FLJ35709,FLJ46184,DKFZp686J0796,FLJ32752,FLJ35709,FLJ46184,DKFZp686J0796,FLJ32752,FLJ35709,FLJ46184,DKFZp686J0796,FLJ32752,FLJ35709,FLJ46184
CCDC7	C10orf68,BIOT2,FLJ13031,FLJ32762
C9orf84	FLJ32779
TTC16	FLJ32780
RIBC1	FLJ32783
VWA5B1	FLJ32784
DCST1	FLJ32785
CYR61	IGFBP10,CCN1,GIG1
FAM71A	FLJ32796
MPP7	FLJ32798
FAM227B	C15orf33,FLJ32800
ARHGAP42	TMEM133,AD031,FLJ32810,GRAF3
CCDC27	FLJ32825
HEATR9	C17orf66,FLJ32830
NBPF4	FLJ32833
DZIP1L	DZIP2,FLJ32844
CCDC33	CT61,FLJ32855
C3orf30	FLJ32859,TSCPA
TEKT5	CT149,FLJ32871
TSGA10IP	FAM161C,FLJ32880
LRRC71	C1orf92,FLJ32884
HYLS1	FLJ32915
ZFYVE27	FLJ32919,SPG33
CCDC114	CILD20,FLJ32926
ZNF548	FLJ32932
DCST2	FLJ32934
C10orf90	bA422P15.2,FATS,FLJ32938
AXDND1	C1orf125,FLJ32940
GTSF1	FAM112B,FLJ32942
RMDN2	FAM82A1,FLJ32954,RMD2,FLJ32954,RMD2
WDR64	FLJ32978
LYSMD4	FLJ33008
TMEM71	FLJ33069
ZNF597	FLJ33071,HIT-4
CCDC17	FLJ33084
PRIMPOL	CCDC111,FLJ33167
KY	FLJ33207
TMEM92	FLJ33318
UNC80	C2orf21,FLJ33496,KIAA1843,UNC-80
MUM1L1	FLJ33516
RTP5	CXXC11,FLJ33590,Z3CXXC5,FLJ33590,Z3CXXC5
WDR49	FLJ33620
GAPT	C5orf29,FLJ33641
PRRT3	FLJ33674
C20orf203	FLJ33706
DOK7	C4orf25,Dok-7,FLJ33718,FLJ39137
TTC39C	C18orf17,FLJ33761,HsT2697
KLHL35	FLJ33790
CCDC117	FLJ33814
WDR81	CAMRQ2,FLJ33817,PPP1R166,SORF-2
ARHGEF19	FLJ33962,WGEF
METTL15	METT5D1,FLJ33979
SLC35G1	TMEM20,C10orf60,FLJ33990
DAB1	.
HECTD4	C12orf51,FLJ34154,KIAA0614
ANKRD52	FLJ34236,PP6-ARS-C
GATD1	PDDC1,FLJ34283
MLKL	FLJ34389
NUDT17	FLJ34433
CRIPAK	FLJ34443
DAB2	DOC-2
SPAG17	CT143,FLJ34497,PF6,RP4-776P7.2
TMEM17	FLJ34583
KDF1	C1orf172,FLJ34633,RP11-344H11.3
UGT3A1	FLJ34658
ZNF554	FLJ34817
DACH1	DACH
ZNF549	FLJ34917
SLFN11	FLJ34922
KLHL34	FLJ34960,RP11-450P7.3
DENND6A	FAM116A,AFI1A,FLJ34969
ZBTB38	CIBZ,FLJ35036,PPP1R171,ZNF921
SWSAP1	C19orf39,FLJ35119,SWS1AP1,ZSWIM7AP1
XXYLT1	C3orf21,FLJ35155
DAD1	OST2
ENDOV	FLJ35220
SSC5D	FLJ35258,S5D-SRCRB
SDE2	C1orf55,FLJ35382
ZNF579	FLJ35453
BBS12	C4orf24,FLJ35630,FLJ41559
C16orf54	FLJ35681
CD55	DAF,CR,CROM,TC
TRMT44	METTL19,FLJ35725,TRM44,FLJ35725,TRM44
CCDC185	C1orf65,FLJ35728
MARCH10	RNF190,FLJ35757,MARCH-X
MFSD6L	FLJ35773
DCAF4L2	WDR21C
POC5	C5orf37,FLJ35779,hPOC5,MGC120442,MGC120443,MGC120444
FAM47B	FLJ35782
DAG1	156DAG,A3a,AGRNR,DAG
RNF168	FLJ35794
CNBD1	FLJ35802
TTLL6	FLJ35808
C12orf50	FLJ35821
EML3	ELP95,FLJ35827
FNDC7	FLJ35838
CCDC63	FLJ35843,ODA5
MEIOC	C17orf104,FLJ35848
SPATA31E1	C9orf79,FAM75E1,FLJ35866,FLJ35866
ZSCAN29	ZNF690,FLJ35867,Zfp690
COL6A5	COL29A1,FLJ35880,VWA4
TERB1	CCDC79,FLJ35894
CFAP58	CCDC147,bA554P13.1,FLJ35908,bA554P13.1,FLJ35908
L3MBTL4	FLJ35936,HsT1031
MIER3	DKFZp686L09111,DKFZp781I1119,FLJ35954
MYOM3	FLJ35961
LMNTD1	IFLTD1,FLJ36004,Pas1c1
CFAP43	WDR96,bA373N18.2,FLJ22944,FLJ36006,bA373N18.2,FLJ22944,FLJ36006
CCDC71L	C7orf74,FLJ36031
RIIAD1	C1orf230,NCRNA00166,FLJ36032,FLJ36032
ZNF610	FLJ36040
CCDC116	FLJ36046
MAMSTR	FLJ36070,MASTR
CEP120	CCDC100,FLJ36090
TTLL10	TTLL5,FLJ36119
GOLGA6L2	CT105,FLJ36144
WDSUB1	WDSAM1,FLJ36175,UBOX6
TRIML1	FLJ36180,RNF209
OOSP2	PLAC1L,TMEM122,FLJ36198,FLJ36198
NHLRC4	.
SYNE4	DFNB76,FLJ36445,Nesp4,Nesprin-4,FLJ36445,Nesp4,Nesprin-4
CLEC9A	CD370,DNGR-1,HEEE9341,UNQ9341
KRT40	FLJ36600,KA36
CFAP47	CXorf59,FLJ36601,MGC34831,RP13-11B7.1,FLJ36601,MGC34831,RP13-11B7.1,FLJ36601,MGC34831,RP13-11B7.1,FLJ36601,MGC34831,RP13-11B7.1
SCAI	C9orf126,FLJ36664,NET40
DAO	DAMOX
C19orf25	FLJ36666
AFAP1L1	FLJ36748
PROX2	FLJ36749
SREK1IP1	SFRS12IP1,FLJ36754,P18SRP
FAM131C	C1orf117,FLJ36766
LRRC57	FLJ36812
DAP	.
ZNF660	FLJ36870
PATL1	FLJ36874,Pat1b
TMEM102	CBAP,FLJ36878
C19orf47	FLJ36888
ANKS6	SAMD6,FLJ36928,NPHP16,FLJ36928,NPHP16
TRMT9B	KIAA1456,FLJ36980,hTRM9L,TRM9L,FLJ36980,hTRM9L,TRM9L
ZNF565	FLJ36991
ERFE	FAM132B,C1QTNF15,CTRP15,FLJ37034
SRRM3	FLJ37078
DAP3	bMRP-10,DAP-3,DKFZp686G12159,MGC126058,MGC126059,MRPS29,MRP-S29
C1orf127	FLJ37118
